rating,review_title,review_description,date,location,up_votes,down_votes
3,Just okay,Awesome simple awesome sound quality very very happy with the product best earphone in this price range,"Jun, 2020",", New Delhi",0,0
4,Very Good,"Ossum good sound quality, super bass, excellent structure, simply superb, just ossum. It is not fits in the ear on the beginning and then after practice it fits perfectly","Jun, 2020",", Ghaziabad",0,0
5,Classy product,Low bass good for those who is not a big fan of bass. Vocals are very clear and sound is good in this price range. Wire quality is also very good.,"Jun, 2020",", Nagpur",0,0
5,Mind-blowing purchase,Nice product with the price tag it comes. Sound is clear though doesn't have really deep bass but that can't be expected at this price. If looking to have good ones which delivers great against their price then surely consider them buying👍💯,"Jun, 2020",", Lucknow",0,0
5,Just wow!,It's one of the worth the price product I have purchased from fk. U should definitely go for this wired earphones if u are looking for good product in cheap price. It's definitely the worth the price product. They also give one more pair of ear buds. The design and the structure of the product is also mind-blowing and the sound quality is also great. If u want to buy a boats product u can definitely go for this one.,"Jun, 2020",", Dausa District",0,0
3,Good,Olson nice prodect    .   boat  is amazing  i love it      . nice  bass  .  but build quality is  down .,"Jun, 2020",", Pathanamthitta District",0,0
5,Best in the market!,alwise nice .🇮🇳🇮🇳,"Jun, 2020",", Pune",0,0
4,Worth the money,Bought this for my girlfriend on her birthday perfect gift she loved it. Works great. Absolutely worth it. Definitely a buy.,"Jun, 2020",", Kanpur",0,0
5,Terrific purchase,Good product ...,"Jun, 2020",", Patna",0,0
5,Awesome,Sound quality is good. Clr and design are so good I love it and also length of lead is so good .... all over nice product ...I got it yesterday ....good product in affordable price ....🙂🙂🙂,"Jun, 2020",", Konnagar",0,0
3,Decent product,They Are just osm . No less than Jbl vocal and both are in balanced . Clear sound even at higest volume .and its pitty good loud too . Totally satisfied at the price .,"Jun, 2020",", Visakhapatnam",0,0
4,Very Good,"The headphone is best under 500rs and i am quite impressed by the sound quality, great for playing pubg and also for listening to music..also the bass is good and ultimately It is worth buying ,i  have used it for a week and then giving my opinion based on my experience..u can go for it without thinking twice..good luck","Jun, 2020",", Kanniyakumari District",0,0
5,Excellent,Product was good good for just 2 months one of the head stopped working now  not that worthy,"Jun, 2020",", Dhule",0,0
5,Fabulous!,Its a nice budget friendly headset from boat. But there is no bass effect in this. The look is stylish. You can use it for a clear audio and not for a powerful bass effect.,"Jun, 2020",", Banswara District",0,0
5,Excellent,Terrific product This is the great purchase in that great price so if you want listen crystal clear voice then you are definitely go to for it thank you filpkart,"Jun, 2020",", Panihati",0,0
4,Good quality product,This is why I love boat stuffs. As they try to put everything to make the sound quality great and to make it a genuine experience in a very affordable price. I always get impressed by their stuffs. I have headphones and earphones both of boat and both are very amazing,"Jun, 2020",", Dhanbad",0,0
5,Worth every penny,"This one is my second pair, gifted to my wife. The first pair lasted more than 2 years and is still doing good. Excellent quality. I wud never go for battery based bluetooth as these last lifelong and are cheaper .","Jun, 2020",", Kanpur",0,0
5,Just wow!,Superb Quality at this Price Range... Yess Bass is A Little less than i expected... But it gives a Solid Crisp Sound.,"Jun, 2020",", Sasaram",0,0
5,Terrific purchase,Its good but just the upper side of the wire is pretty much weak. Otherwise its great nice to hear wd it,"Jun, 2020",", Aurangabad",0,0
4,Pretty good,It is a good product if you see by the design.,"Jun, 2020",", Bhubaneswar",0,0
5,Simply awesome,But I feel it is not that loud in crowdy places. I used it while I was travelling via train and the sound was not much audible. ,"Jun, 2020",", Malaut",0,0
